loc,v(g),l,d,i,e,b,t,lOBlank,locCodeAndComment,uniq_Op,defects
24.0,2.0,0.07,14.4,25.8,5350.53,0.12,297.25,5,0,16.0,False
24.0,2.0,0.07,14.4,25.8,5350.53,0.12,297.25,5,0,16.0,False
24.0,2.0,0.07,14.4,25.8,5350.53,0.12,297.25,5,0,16.0,False
13.0,3.0,0.08,12.6,8.46,1343.23,0.04,74.62,1,0,9.0,False
4.0,1.0,0.67,1.5,7.74,17.41,0.0,0.97,0,0,3.0,False
12.0,1.0,0.19,5.25,30.05,828.13,0.05,46.01,1,0,4.0,False
7.0,1.0,0.5,2.0,30.47,121.89,0.02,6.77,2,0,4.0,False
6.0,1.0,0.25,4.0,18.08,289.36,0.02,16.07,1,0,7.0,False
4.0,1.0,0.67,1.5,7.74,17.41,0.0,0.97,0,0,3.0,False
4.0,1.0,0.67,1.5,7.74,17.41,0.0,0.97,0,0,3.0,False
7.0,1.0,0.29,3.5,20.49,250.95,0.02,13.94,1,0,6.0,False
7.0,2.0,0.38,2.67,10.53,74.86,0.01,4.16,0,0,4.0,False
8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
28.0,5.0,0.11,9.46,41.62,3722.04,0.13,206.78,4,0,15.0,False
23.0,8.0,0.1,10.5,42.48,4683.78,0.15,260.2,2,0,14.0,False
23.0,8.0,0.11,8.75,34.59,2648.31,0.1,147.13,4,2,15.0,False
24.0,2.0,0.15,6.87,69.46,3282.89,0.16,182.38,3,0,11.0,False
25.0,3.0,0.12,8.48,56.21,4044.77,0.16,224.71,3,0,12.0,False
15.0,2.0,0.22,4.5,22.84,462.59,0.03,25.7,1,0,7.0,False
200.0,26.0,0.03,38.52,104.53,155140.4,1.34,8618.91,23,0,27.0,False
22.0,9.0,0.07,13.59,32.07,5926.46,0.15,329.25,2,1,15.0,False
29.0,8.0,0.08,13.0,28.9,4883.27,0.13,271.29,5,1,13.0,False
168.0,44.0,0.02,40.68,83.2,137649.97,1.13,7647.22,23,6,23.0,False
32.0,5.0,0.11,8.89,38.22,3024.21,0.11,168.01,4,2,13.0,False
102.0,17.0,0.03,38.46,61.84,91462.4,0.79,5081.24,13,9,26.0,False
225.0,43.0,0.01,76.45,62.89,367569.05,1.6,20420.5,14,6,30.0,False
37.0,9.0,0.04,27.87,19.26,14952.52,0.18,830.7,5,2,22.0,False
65.0,8.0,0.03,30.38,39.77,36689.33,0.4,2038.3,11,0,18.0,False
17.0,7.0,0.08,12.55,23.44,3688.76,0.1,204.93,2,1,12.0,False
26.0,9.0,0.07,14.0,31.23,6121.06,0.15,340.06,2,1,14.0,False
13.0,5.0,0.15,6.87,17.92,846.93,0.04,47.05,1,1,11.0,False
22.0,1.0,0.09,11.14,36.82,4571.55,0.14,253.98,4,0,8.0,False
13.0,2.0,0.19,5.32,26.82,758.5,0.05,42.14,1,0,9.0,False
8.0,1.0,0.19,5.25,16.37,451.25,0.03,25.07,2,0,9.0,False
6.0,1.0,0.5,2.0,13.5,54.0,0.01,3.0,1,1,4.0,False
5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
6.0,1.0,0.25,4.0,16.18,258.89,0.02,14.38,0,0,8.0,False
5.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
17.0,5.0,0.12,8.25,15.72,1069.68,0.04,59.43,1,0,12.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
12.0,1.0,0.24,4.13,22.15,376.93,0.03,20.94,3,0,6.0,False
4.0,1.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,3.0,False
4.0,1.0,0.67,1.5,5.33,12.0,0.0,0.67,0,0,3.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
19.0,4.0,0.06,16.88,10.99,3129.74,0.06,173.87,4,1,15.0,False
97.0,16.0,0.02,51.75,23.77,63661.56,0.41,3536.75,7,0,23.0,False
87.0,13.0,0.02,42.71,23.26,42441.62,0.33,2357.87,8,0,23.0,False
51.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
626.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
25.0,4.0,0.1,10.13,25.91,2660.73,0.09,147.82,0,0,16.0,False
47.0,8.0,0.08,13.23,51.83,9074.16,0.23,504.12,2,0,13.0,False
42.0,7.0,0.08,12.54,51.71,8126.45,0.22,451.47,2,0,13.0,False
29.0,3.0,0.04,26.4,16.37,11416.43,0.14,634.25,4,0,16.0,False
6.0,1.0,0.11,8.94,20.91,1670.5,0.06,92.81,0,0,11.0,False
22.0,3.0,0.08,13.0,15.78,2666.74,0.07,148.15,6,0,13.0,False
20.0,2.0,0.13,7.67,36.48,2144.31,0.09,119.13,3,0,12.0,False
91.0,9.0,0.02,48.13,41.99,97260.72,0.67,5403.37,19,1,21.0,False
10.0,1.0,0.35,2.86,23.84,194.61,0.02,10.81,3,0,5.0,False
45.0,4.0,0.04,28.0,49.43,38754.01,0.46,2153.0,6,0,17.0,False
20.0,2.0,0.17,5.82,26.28,889.75,0.05,49.43,3,0,8.0,False
27.0,6.0,0.06,16.1,35.4,9171.0,0.19,509.5,4,4,13.0,False
14.0,1.0,0.12,8.25,16.5,1123.34,0.05,62.41,4,0,11.0,False
17.0,3.0,0.16,6.07,30.96,1141.33,0.06,63.41,3,0,10.0,False
30.0,5.0,0.07,15.21,27.53,6369.62,0.14,353.87,4,0,17.0,False
6.0,1.0,0.23,4.38,11.86,227.03,0.02,12.61,1,0,7.0,False
72.0,6.0,0.06,18.0,28.35,9185.7,0.17,510.32,16,0,15.0,False
65.0,12.0,0.04,23.04,35.8,19003.21,0.27,1055.73,8,0,18.0,False
47.0,4.0,0.08,12.55,47.85,7531.29,0.2,418.41,6,0,12.0,False
8.0,3.0,0.1,9.9,13.33,1306.8,0.04,72.6,1,0,11.0,False
5.0,1.0,0.22,4.5,11.15,225.85,0.02,12.55,0,0,9.0,False
8.0,1.0,0.22,4.5,13.54,274.25,0.02,15.24,0,0,9.0,False
61.0,13.0,0.03,32.29,37.25,38840.84,0.4,2157.82,10,0,22.0,False
7.0,3.0,0.17,6.0,10.16,365.67,0.02,20.31,0,0,8.0,False
54.0,9.0,0.03,29.13,34.6,29369.72,0.34,1631.65,3,0,23.0,False
5.0,1.0,0.25,4.0,12.97,207.57,0.02,11.53,0,0,8.0,False
12.0,3.0,0.12,8.67,18.25,1370.4,0.05,76.13,2,0,12.0,False
63.0,20.0,0.02,43.93,30.27,58423.84,0.44,3245.77,6,0,28.0,False
45.0,4.0,0.07,14.4,29.06,6025.39,0.14,334.74,8,0,12.0,False
32.0,5.0,0.07,14.32,29.38,6021.24,0.14,334.51,5,0,16.0,False
10.0,3.0,0.15,6.67,15.0,666.67,0.03,37.04,1,0,10.0,False
10.0,1.0,0.29,3.5,14.34,175.66,0.02,9.76,1,0,7.0,False
33.0,5.0,0.05,20.7,27.63,11840.9,0.19,657.83,4,0,18.0,False
40.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
39.0,7.0,0.05,20.66,36.69,15664.53,0.25,870.25,5,0,21.0,False
255.0,37.0,0.02,49.6,77.06,189602.1,1.27,10533.45,43,0,34.0,False
20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
78.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
63.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
32.0,7.0,0.05,18.28,25.51,8525.76,0.16,473.65,2,0,14.0,False
7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
7.0,1.0,0.42,2.4,17.17,98.9,0.01,5.49,1,0,4.0,False
89.0,4.0,0.03,33.87,29.29,33604.92,0.33,1866.94,19,0,19.0,False
48.0,10.0,0.05,19.84,41.05,16156.66,0.27,897.59,2,0,16.0,False
105.0,9.0,0.03,31.94,49.5,50515.51,0.53,2806.42,14,0,25.0,False
122.0,13.0,0.02,58.28,36.71,124658.08,0.71,6925.45,12,3,26.0,False
33.0,7.0,0.05,18.93,28.2,10106.29,0.18,561.46,4,0,17.0,False
55.0,7.0,0.08,13.2,47.57,8289.44,0.21,460.52,4,0,15.0,False
25.0,3.0,0.05,18.41,15.83,5364.91,0.1,298.05,4,0,15.0,False
76.0,11.0,0.04,23.17,42.19,22652.19,0.33,1258.45,11,0,16.0,False
171.0,18.0,0.03,35.5,85.63,107919.29,1.01,5995.52,16,2,23.0,False
13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
47.0,11.0,0.03,39.42,14.2,22058.39,0.19,1225.47,7,0,22.0,False
107.0,10.0,0.05,18.67,87.11,30353.11,0.54,1686.28,10,10,14.0,False
137.0,31.0,0.02,49.1,46.74,112701.06,0.77,6261.17,17,1,21.0,False
105.0,21.0,0.02,49.34,36.39,88588.88,0.6,4921.6,14,4,23.0,False
53.0,13.0,0.03,31.24,31.83,31061.04,0.33,1725.61,7,0,22.0,False
31.0,5.0,0.06,17.81,28.29,8972.46,0.17,498.47,5,0,17.0,False
36.0,6.0,0.05,19.9,27.54,10910.97,0.18,606.16,5,0,19.0,False
32.0,6.0,0.05,18.82,28.28,10014.9,0.18,556.38,5,0,18.0,False
66.0,6.0,0.05,20.11,58.74,23744.99,0.39,1319.17,5,0,21.0,False
40.0,5.0,0.07,13.41,67.13,12075.16,0.3,670.84,4,0,12.0,False
49.0,5.0,0.08,13.33,51.93,9231.84,0.23,512.88,12,0,12.0,False
4.0,1.0,0.29,3.5,10.87,133.19,0.01,7.4,0,0,7.0,False
33.0,4.0,0.08,12.09,22.28,3256.61,0.09,180.92,2,0,14.0,False
132.0,15.0,0.03,34.04,63.44,73515.84,0.72,4084.21,25,0,20.0,False
32.0,2.0,0.09,11.14,35.61,4421.73,0.13,245.65,4,0,13.0,False
4.0,1.0,0.5,2.0,17.43,69.74,0.01,3.87,0,0,4.0,False
42.0,4.0,0.06,15.46,50.91,12171.15,0.26,676.18,5,0,12.0,False
4.0,1.0,0.5,2.0,17.43,69.74,0.01,3.87,0,0,4.0,False
37.0,2.0,0.11,9.0,58.33,4725.0,0.18,262.5,4,0,9.0,False
49.0,5.0,0.06,16.0,34.19,8751.88,0.18,486.22,7,0,16.0,False
51.0,5.0,0.06,16.0,34.51,8835.23,0.18,490.85,7,0,16.0,False
81.0,30.0,0.03,34.13,83.19,96875.9,0.95,5381.99,10,0,21.0,False
92.0,12.0,0.04,24.72,48.42,29594.84,0.4,1644.16,5,0,15.0,False
9.0,2.0,0.33,3.0,14.99,134.92,0.01,7.5,0,0,6.0,False
9.0,2.0,0.33,3.0,14.99,134.92,0.01,7.5,0,0,6.0,False
38.0,26.0,0.01,133.33,14.63,260000.0,0.65,14444.44,1,0,20.0,False
5.0,1.0,0.5,2.0,15.0,60.0,0.01,3.33,0,0,4.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
11.0,2.0,0.17,6.0,11.95,430.2,0.02,23.9,0,0,8.0,False
16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
49.0,5.0,0.06,16.0,34.19,8751.88,0.18,486.22,7,0,16.0,False
9.0,2.0,0.12,8.33,13.92,966.67,0.04,53.7,0,0,10.0,False
98.0,7.0,0.03,29.16,70.9,60293.86,0.69,3349.66,16,0,23.0,False
106.0,8.0,0.03,28.75,65.86,54439.88,0.63,3024.44,24,0,23.0,False
54.0,10.0,0.04,27.04,36.56,26728.43,0.33,1484.91,7,0,19.0,False
34.0,4.0,0.09,11.33,35.07,4504.53,0.13,250.25,6,0,12.0,False
27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
40.0,11.0,0.11,9.33,53.55,4664.41,0.17,259.13,0,0,18.0,False
23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
60.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
19.0,2.0,0.07,14.88,25.4,5620.23,0.13,312.23,4,0,14.0,False
17.0,1.0,0.2,5.12,34.64,906.44,0.06,50.36,2,0,7.0,False
16.0,3.0,0.07,13.71,10.23,1923.16,0.05,106.84,1,0,16.0,False
17.0,1.0,0.2,5.12,34.64,906.44,0.06,50.36,2,0,7.0,False
16.0,3.0,0.07,13.71,10.23,1923.16,0.05,106.84,1,0,16.0,False
23.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
17.0,2.0,0.15,6.5,21.81,921.55,0.05,51.2,2,0,9.0,False
12.0,1.0,0.24,4.13,25.84,439.75,0.04,24.43,1,0,6.0,False
13.0,1.0,0.24,4.13,25.84,439.75,0.04,24.43,1,0,6.0,False
4.0,1.0,0.67,1.5,7.74,17.41,0.0,0.97,0,0,3.0,False
5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
51.0,6.0,0.07,14.44,53.79,11222.67,0.26,623.48,6,0,12.0,False
10.0,1.0,0.29,3.5,19.58,239.86,0.02,13.33,2,0,7.0,False
69.0,7.0,0.04,22.85,52.14,27216.16,0.4,1512.01,5,0,12.0,False
5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
26.0,5.0,0.07,13.71,21.83,4104.96,0.1,228.05,3,0,16.0,False
6.0,1.0,0.19,5.25,14.14,389.71,0.02,21.65,0,0,9.0,False
5.0,1.0,0.33,3.0,12.18,109.62,0.01,6.09,0,0,6.0,False
15.0,3.0,0.22,4.5,21.15,428.33,0.03,23.8,0,0,7.0,False
21.0,3.0,0.07,15.36,18.5,4367.39,0.09,242.63,2,1,13.0,False
29.0,4.0,0.05,21.86,16.14,7718.78,0.12,428.82,2,0,13.0,False
17.0,2.0,0.07,13.75,19.11,3612.2,0.09,200.68,1,0,10.0,False
32.0,7.0,0.04,25.5,15.66,10183.98,0.13,565.78,3,0,15.0,False
42.0,5.0,0.05,21.86,42.93,20522.49,0.31,1140.14,3,4,13.0,False
109.0,14.0,0.02,41.26,52.79,89865.49,0.73,4992.53,6,1,26.0,False
11.0,2.0,0.11,9.0,10.69,865.9,0.03,48.11,0,0,9.0,False
40.0,9.0,0.08,12.14,46.1,6797.87,0.19,377.66,2,8,10.0,False
27.0,5.0,0.11,9.35,29.58,2584.07,0.09,143.56,2,4,9.0,False
32.0,5.0,0.06,17.81,36.5,11579.99,0.22,643.33,6,0,15.0,False
26.0,4.0,0.05,19.5,20.24,7697.19,0.13,427.62,3,0,13.0,False
11.0,2.0,0.08,12.86,13.67,2259.78,0.06,125.54,1,0,10.0,False
12.0,2.0,0.13,7.58,12.69,729.6,0.03,40.53,2,0,7.0,False
20.0,2.0,0.07,15.17,12.04,2770.36,0.06,153.91,5,1,13.0,False
26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
26.0,3.0,0.04,24.64,33.57,20384.28,0.28,1132.46,1,0,15.0,False
8.0,1.0,0.17,6.0,14.33,515.71,0.03,28.65,2,0,9.0,False
32.0,4.0,0.07,14.77,18.93,4131.68,0.09,229.54,4,0,13.0,False
30.0,7.0,0.04,24.5,12.74,7647.93,0.1,424.88,5,0,14.0,False
56.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
22.0,2.0,0.08,12.78,39.94,6525.86,0.17,362.55,5,0,14.0,False
16.0,1.0,0.09,10.93,17.93,2142.0,0.07,119.0,5,0,9.0,False
26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
18.0,2.0,0.06,17.0,16.5,4769.15,0.09,264.95,5,0,17.0,False
33.0,1.0,0.07,13.88,31.02,5972.45,0.14,331.8,7,0,9.0,False
4.0,1.0,0.33,3.0,12.18,109.62,0.01,6.09,0,0,6.0,False
9.0,1.0,0.21,4.67,32.77,713.65,0.05,39.65,0,0,7.0,False
28.0,4.0,0.11,9.24,38.97,3325.26,0.12,184.74,4,0,13.0,False
9.0,1.0,0.11,9.0,21.58,1747.58,0.06,97.09,1,0,7.0,False
61.0,3.0,0.06,16.7,40.85,11399.82,0.23,633.32,7,0,15.0,False
27.0,4.0,0.04,27.38,20.77,15572.12,0.19,865.12,4,0,19.0,False
29.0,3.0,0.07,14.77,18.62,4063.94,0.09,225.77,5,0,13.0,False
13.0,2.0,0.09,11.2,12.56,1574.91,0.05,87.49,1,0,8.0,False
9.0,1.0,0.2,5.09,29.49,764.23,0.05,42.46,0,0,7.0,False
40.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
18.0,3.0,0.08,12.07,13.61,1982.53,0.05,110.14,3,0,13.0,False
17.0,2.0,0.04,23.33,18.13,9871.1,0.14,548.39,1,0,16.0,False
15.0,2.0,0.09,10.77,22.08,2560.32,0.08,142.24,1,0,14.0,False
6.0,1.0,0.17,5.83,16.46,560.0,0.03,31.11,0,0,10.0,False
24.0,2.0,0.05,18.75,18.9,6645.82,0.12,369.21,4,0,10.0,False
47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
48.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
30.0,1.0,0.09,11.35,60.6,7801.62,0.23,433.42,5,0,10.0,False
29.0,3.0,0.05,18.37,22.99,7755.5,0.14,430.86,5,0,19.0,False
22.0,2.0,0.14,7.15,20.89,1067.77,0.05,59.32,5,0,11.0,False
30.0,5.0,0.06,16.39,24.18,6497.07,0.13,360.95,5,0,17.0,False
26.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
24.0,4.0,0.12,8.5,27.65,1997.69,0.08,110.98,4,0,13.0,False
16.0,3.0,0.13,7.56,20.78,1188.62,0.05,66.03,2,1,11.0,False
23.0,3.0,0.04,22.29,15.25,7573.45,0.11,420.75,2,0,12.0,False
237.0,37.0,0.01,110.38,30.81,375433.37,1.13,20857.41,23,0,28.0,False
28.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
37.0,12.0,0.05,18.48,30.83,10526.44,0.19,584.8,1,0,25.0,False
25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
89.0,8.0,0.05,21.69,43.55,20486.51,0.31,1138.14,12,0,17.0,False
30.0,5.0,0.09,10.62,22.31,2514.11,0.08,139.67,5,0,12.0,False
103.0,14.0,0.03,34.2,49.65,58071.6,0.57,3226.2,11,1,24.0,False
25.0,5.0,0.08,12.13,25.75,3791.4,0.1,210.63,4,1,13.0,False
9.0,1.0,0.3,3.33,10.11,112.29,0.01,6.24,1,0,4.0,False
15.0,6.0,0.07,13.46,21.3,3857.44,0.1,214.3,2,0,17.0,False
12.0,2.0,0.08,12.1,7.93,1161.6,0.03,64.53,2,0,11.0,False
12.0,2.0,0.08,12.1,7.93,1161.6,0.03,64.53,2,0,11.0,False
25.0,5.0,0.07,13.53,24.05,4404.89,0.11,244.72,4,0,14.0,False
22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
20.0,7.0,0.02,40.07,10.07,16167.89,0.13,898.22,1,0,17.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
4.0,1.0,0.5,2.0,9.83,39.3,0.01,2.18,0,0,4.0,False
75.0,2.0,0.04,25.14,57.54,36375.41,0.48,2020.86,17,0,16.0,False
16.0,1.0,0.12,8.5,23.39,1689.87,0.07,93.88,5,0,10.0,False
37.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
5.0,1.0,0.33,3.0,13.0,117.0,0.01,6.5,0,0,4.0,False
107.0,8.0,0.03,31.91,59.3,60402.76,0.63,3355.71,5,10,20.0,False
22.0,1.0,0.1,10.0,45.59,4559.43,0.15,253.3,7,0,8.0,False
30.0,3.0,0.04,24.23,20.24,11881.56,0.16,660.09,7,0,15.0,False
16.0,1.0,0.3,3.33,25.79,286.51,0.03,15.92,1,0,6.0,False
24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
15.0,1.0,0.15,6.64,55.4,2444.68,0.12,135.82,4,0,9.0,False
102.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
68.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
43.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
23.0,1.0,0.12,8.46,35.82,2564.51,0.1,142.47,5,0,10.0,False
11.0,1.0,0.2,5.0,22.94,573.47,0.04,31.86,1,0,10.0,False
19.0,3.0,0.11,9.19,30.98,2614.76,0.09,145.26,3,0,14.0,False
13.0,1.0,0.2,4.95,26.6,651.84,0.04,36.21,3,0,9.0,False
281.0,7.0,0.05,20.98,270.53,119057.45,1.89,6614.3,34,17,15.0,False
48.0,6.0,0.03,39.5,24.33,37963.44,0.32,2109.08,3,0,23.0,False
34.0,6.0,0.04,28.44,23.43,18957.02,0.22,1053.17,6,0,16.0,False
18.0,2.0,0.09,11.2,18.89,2369.02,0.07,131.61,4,0,16.0,False
66.0,10.0,0.04,26.7,53.72,38298.92,0.48,2127.72,10,1,21.0,False
14.0,2.0,0.14,7.33,23.44,1260.57,0.06,70.03,2,0,11.0,False
12.0,1.0,0.25,4.0,39.53,632.49,0.05,35.14,1,0,7.0,False
12.0,1.0,0.15,6.5,21.81,921.55,0.05,51.2,3,0,9.0,False
31.0,1.0,0.19,5.34,84.58,2412.57,0.15,134.03,0,0,5.0,False
19.0,2.0,0.23,4.27,39.23,714.12,0.06,39.67,3,4,8.0,False
28.0,4.0,0.09,11.42,30.92,4032.86,0.12,224.05,2,0,14.0,False
66.0,5.0,0.05,21.75,48.27,22835.76,0.35,1268.65,3,6,19.0,False
16.0,2.0,0.14,7.39,47.77,2609.93,0.12,145.0,1,0,10.0,False
111.0,6.0,0.07,14.7,151.86,32795.22,0.74,1821.96,18,0,12.0,False
72.0,2.0,0.07,13.38,95.32,17051.67,0.42,947.31,12,0,14.0,False
52.0,1.0,0.08,12.25,131.5,19732.68,0.54,1096.26,1,0,7.0,False
18.0,1.0,0.24,4.16,45.71,789.64,0.06,43.87,1,0,7.0,False
266.0,9.0,0.02,58.9,154.36,535507.18,3.03,29750.4,13,0,23.0,False
74.0,1.0,0.04,22.63,81.28,41621.78,0.61,2312.32,14,1,11.0,False
57.0,1.0,0.11,9.15,94.27,7886.05,0.29,438.11,12,0,10.0,False
69.0,2.0,0.1,10.3,102.96,10918.78,0.35,606.6,13,0,11.0,False
95.0,4.0,0.04,24.1,100.77,58552.86,0.81,3252.94,18,1,19.0,False
12.0,2.0,0.22,4.5,37.09,751.09,0.06,41.73,0,0,7.0,False
25.0,1.0,0.11,8.79,74.53,5762.91,0.22,320.16,4,2,10.0,False
425.0,28.0,0.02,63.84,99.67,406216.63,2.12,22567.59,79,2,34.0,False
110.0,1.0,0.03,39.48,75.64,117903.64,1.0,6550.2,21,1,11.0,False
106.0,1.0,0.03,39.48,75.64,117903.64,1.0,6550.2,19,2,11.0,False
30.0,5.0,0.04,27.19,13.48,9961.73,0.12,553.43,3,0,15.0,False
30.0,5.0,0.04,27.19,13.48,9961.73,0.12,553.43,3,0,15.0,False
519.0,29.0,0.01,83.56,214.88,1500388.97,5.99,83354.94,40,0,25.0,False
21.0,1.0,0.24,4.2,58.87,1038.47,0.08,57.69,2,0,7.0,False
245.0,16.0,0.02,43.03,167.38,309865.86,2.4,17214.77,24,0,17.0,False
18.0,1.0,0.23,4.32,48.78,911.87,0.07,50.66,1,0,7.0,False
16.0,2.0,0.21,4.67,39.18,853.24,0.06,47.4,2,0,7.0,False
133.0,3.0,0.05,18.24,101.2,33667.41,0.62,1870.41,25,42,12.0,False
192.0,9.0,0.02,51.3,176.85,465360.0,3.02,25853.33,15,0,20.0,False
23.0,2.0,0.08,13.24,29.47,5161.76,0.13,286.76,4,0,15.0,False
15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,False
472.0,13.0,0.01,70.05,224.01,1099074.9,5.23,61059.72,72,0,23.0,False
38.0,2.0,0.05,21.67,40.04,18795.28,0.29,1044.18,7,0,16.0,False
30.0,4.0,0.08,13.14,24.27,4191.89,0.11,232.88,7,0,16.0,False
127.0,3.0,0.04,28.15,93.34,73984.09,0.88,4110.22,16,1,20.0,False
72.0,1.0,0.08,12.02,118.26,17081.67,0.47,948.98,10,10,11.0,False
78.0,3.0,0.04,25.3,64.87,41519.9,0.55,2306.66,6,0,17.0,False
57.0,1.0,0.09,11.06,109.66,13423.09,0.4,745.73,12,9,10.0,False
100.0,1.0,0.06,16.56,236.82,64969.6,1.31,3609.42,4,0,11.0,False
22.0,5.0,0.08,13.0,20.1,3397.46,0.09,188.75,3,0,12.0,False
138.0,6.0,0.03,32.81,84.19,90642.81,0.92,5035.71,29,8,21.0,False
30.0,1.0,0.11,9.04,58.49,4775.74,0.18,265.32,5,7,11.0,False
48.0,1.0,0.11,9.14,168.98,14115.6,0.51,784.2,12,0,11.0,False
142.0,5.0,0.06,15.5,139.39,33489.35,0.72,1860.52,29,0,14.0,False
89.0,3.0,0.06,17.36,68.08,20521.53,0.39,1140.09,14,7,17.0,False
99.0,3.0,0.07,14.78,114.02,24894.09,0.56,1383.0,14,20,15.0,False
360.0,7.0,0.02,54.0,260.81,760414.2,4.69,42245.23,30,0,17.0,False
363.0,8.0,0.05,20.89,280.2,122265.62,1.95,6792.53,58,0,14.0,False
15.0,2.0,0.1,10.5,22.93,2528.5,0.08,140.47,4,0,11.0,False
44.0,9.0,0.05,21.0,28.94,12762.57,0.2,709.03,7,0,21.0,False
27.0,1.0,0.19,5.2,107.38,2903.43,0.19,161.3,5,0,6.0,False
52.0,2.0,0.07,15.02,91.25,20591.97,0.46,1144.0,11,0,13.0,False
69.0,3.0,0.05,19.93,88.89,35325.77,0.59,1962.54,12,0,14.0,False
12.0,2.0,0.15,6.75,17.29,787.67,0.04,43.76,3,0,12.0,False
404.0,24.0,0.02,61.65,191.05,726113.14,3.93,40339.62,66,2,25.0,False
522.0,28.0,0.01,88.44,207.99,1626925.91,6.13,90384.77,29,1,25.0,False
253.0,19.0,0.02,58.89,105.57,366067.77,2.07,20337.1,12,0,23.0,False
