b,lOCode,e,v,n,i,t,loc,d,v(g),defects
0.36,54,24736.11,1085.98,187.0,47.68,1374.23,71.0,22.78,17.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,5.0,True
0.44,48,38988.89,1306.65,225.0,43.79,2166.05,62.0,29.84,11.0,True
0.13,22,2790.6,375.08,72.0,50.41,155.03,28.0,7.44,3.0,True
0.15,18,5085.35,442.2,93.0,38.45,282.52,23.0,11.5,3.0,True
0.32,58,30099.77,971.35,155.0,31.35,1672.21,72.0,30.99,11.0,True
0.44,59,40008.45,1311.1,230.0,42.97,2222.69,77.0,30.52,14.0,True
0.73,92,98618.14,2202.0,367.0,49.17,5478.79,119.0,44.79,22.0,True
0.25,35,19659.65,742.48,136.0,28.04,1092.2,54.0,26.48,11.0,True
0.37,42,35119.22,1096.11,202.0,34.21,1951.07,64.0,32.04,9.0,True
0.92,114,165546.28,2768.33,458.0,46.29,9197.02,156.0,59.8,22.0,True
0.11,12,4045.39,326.9,68.0,26.42,224.74,25.0,12.38,3.0,True
0.52,61,44416.07,1571.23,266.0,55.58,2467.56,89.0,28.27,11.0,True
0.09,13,4423.76,276.48,62.0,17.28,245.76,22.0,16.0,5.0,True
0.08,14,3007.76,239.75,53.0,19.11,167.1,22.0,12.55,3.0,True
0.05,9,944.71,160.54,36.0,27.28,52.48,23.0,5.88,6.0,True
0.08,13,3854.26,237.19,54.0,14.6,214.13,17.0,16.25,3.0,True
0.36,51,22165.29,1091.89,200.0,53.79,1231.41,80.0,20.3,9.0,True
0.72,84,105996.37,2162.03,359.0,44.1,5888.69,111.0,49.03,12.0,True
0.71,86,105396.32,2124.0,354.0,42.8,5855.35,112.0,49.62,12.0,True
0.43,56,56026.56,1295.71,232.0,29.97,3112.59,75.0,43.24,10.0,True
0.45,59,60805.05,1362.73,244.0,30.54,3378.06,79.0,44.62,10.0,True
0.05,7,1203.55,160.47,35.0,21.4,66.86,12.0,7.5,2.0,True
0.21,35,15139.0,644.21,118.0,27.41,841.06,47.0,23.5,9.0,True
0.21,36,15326.24,625.56,121.0,25.53,851.46,47.0,24.5,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,2.0,True
0.48,78,51032.11,1432.97,249.0,40.24,2835.12,98.0,35.61,19.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,25.0,True
0.44,74,49635.0,1309.37,232.0,34.54,2757.5,115.0,37.91,8.0,True
0.03,2,646.8,84.0,21.0,10.91,35.93,4.0,7.7,3.0,True
0.82,71,99870.94,2458.94,396.0,60.54,5548.39,84.0,40.62,15.0,True
0.35,56,39085.39,1063.55,196.0,28.94,2171.41,88.0,36.75,12.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0,True
0.15,17,5302.92,438.86,87.0,36.32,294.61,26.0,12.08,4.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,3.0,True
0.34,40,34566.83,1008.98,177.0,29.45,1920.38,46.0,34.26,10.0,True
0.12,19,4669.85,365.0,73.0,28.53,259.44,24.0,12.79,5.0,True
0.01,3,124.54,41.51,12.0,13.84,6.92,6.0,3.0,1.0,True
0.1,15,3333.1,307.67,64.0,28.4,185.17,20.0,10.83,2.0,True
0.09,11,2361.94,269.34,58.0,30.71,131.22,15.0,8.77,3.0,True
0.03,7,555.43,96.0,24.0,16.59,30.86,8.0,5.79,1.0,True
0.92,85,137887.36,2766.26,513.0,55.5,7660.41,121.0,49.85,19.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,6.0,True
0.01,3,124.54,41.51,12.0,13.84,6.92,6.0,3.0,1.0,True
0.07,10,2242.98,213.62,46.0,20.34,124.61,15.0,10.5,3.0,True
0.05,9,1295.46,144.95,33.0,16.21,71.97,14.0,8.94,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,True
0.22,27,19230.61,661.37,130.0,22.75,1068.37,34.0,29.08,7.0,True
0.35,42,21489.43,1058.9,184.0,52.18,1193.86,69.0,20.29,14.0,True
1.16,102,115545.43,3477.58,547.0,104.67,6419.19,136.0,33.23,42.0,True
0.54,65,35733.72,1624.26,265.0,73.83,1985.21,82.0,22.0,19.0,True
0.08,17,2187.03,243.0,53.0,27.0,121.5,24.0,9.0,3.0,True
0.41,33,26742.14,1231.55,214.0,56.72,1485.67,46.0,21.71,4.0,True
0.25,25,9337.58,762.25,138.0,62.22,518.75,35.0,12.25,1.0,True
0.32,48,33877.71,972.57,215.0,27.92,1882.09,70.0,34.83,13.0,True
0.55,77,56722.86,1662.21,275.0,48.71,3151.27,94.0,34.13,11.0,True
0.06,12,1584.58,182.84,41.0,21.1,88.03,17.0,8.67,3.0,True
0.08,15,1953.9,236.84,51.0,28.71,108.55,19.0,8.25,4.0,True
0.05,10,1092.25,144.43,34.0,19.1,60.68,16.0,7.56,2.0,True
0.06,15,1133.07,168.56,39.0,25.07,62.95,20.0,6.72,3.0,True
0.35,38,14021.41,1046.36,204.0,78.09,778.97,51.0,13.4,1.0,True
0.15,19,5810.15,446.93,92.0,34.38,322.79,28.0,13.0,2.0,True
0.22,27,19230.61,661.37,130.0,22.75,1068.37,35.0,29.08,7.0,True
0.06,10,1460.91,187.3,42.0,24.01,81.16,14.0,7.8,3.0,True
0.16,29,4877.17,471.22,97.0,45.53,270.95,34.0,10.35,7.0,True
0.05,10,802.71,145.95,35.0,26.54,44.6,14.0,5.5,1.0,True
0.14,22,6376.95,413.64,82.0,26.83,354.28,25.0,15.42,3.0,True
0.14,22,6241.51,427.35,84.0,29.26,346.75,26.0,14.61,3.0,True
0.13,20,4039.66,387.64,79.0,37.2,224.43,26.0,10.42,2.0,True
0.43,39,39258.26,1281.16,227.0,41.81,2181.01,70.0,30.64,9.0,True
0.06,13,1758.5,187.3,42.0,19.95,97.69,17.0,9.39,3.0,True
0.05,14,1045.91,155.59,36.0,23.15,58.11,20.0,6.72,3.0,True
0.22,27,19230.61,661.37,130.0,22.75,1068.37,34.0,29.08,7.0,True
0.22,27,19230.61,661.37,130.0,22.75,1068.37,34.0,29.08,7.0,True
0.22,27,19230.61,661.37,130.0,22.75,1068.37,34.0,29.08,7.0,True
0.05,13,1102.09,146.95,34.0,19.59,61.23,19.0,7.5,3.0,True
0.11,29,3783.11,318.58,67.0,26.83,210.17,37.0,11.88,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,True
0.06,10,1209.56,181.11,39.0,27.12,67.2,17.0,6.68,1.0,True
0.08,15,2612.38,241.48,52.0,22.32,145.13,21.0,10.82,3.0,True
0.24,25,14249.09,722.57,134.0,36.64,791.62,39.0,19.72,3.0,True
0.17,27,4322.06,516.99,100.0,61.84,240.11,37.0,8.36,1.0,True
0.02,6,373.0,66.61,18.0,11.89,20.72,10.0,5.6,2.0,True
0.16,23,5383.46,493.48,97.0,45.24,299.08,32.0,10.91,3.0,True
0.07,14,1548.29,206.44,47.0,27.53,86.02,24.0,7.5,3.0,True
0.01,6,152.16,38.04,12.0,9.51,8.45,10.0,4.0,2.0,True
0.11,8,7440.59,338.21,77.0,15.37,413.37,20.0,22.0,10.0,True
0.06,15,1485.7,180.09,41.0,21.83,82.54,21.0,8.25,4.0,True
0.16,21,5629.47,494.9,95.0,43.51,312.75,91.0,11.38,7.0,True
0.3,41,36630.64,902.87,184.0,22.25,2035.04,50.0,40.57,7.0,True
0.11,18,6388.89,315.5,73.0,15.58,354.94,24.0,20.25,3.0,True
0.01,3,60.0,30.0,10.0,15.0,3.33,5.0,2.0,1.0,True
0.13,29,4381.42,403.55,80.0,37.17,243.41,35.0,10.86,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,28.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,25.0,True
0.08,13,3593.74,232.79,53.0,15.08,199.65,17.0,15.44,3.0,True
0.13,16,3952.96,391.73,77.0,38.82,219.61,22.0,10.09,3.0,True
1.34,138,102009.91,4026.71,564.0,158.95,5667.22,168.0,25.33,26.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,24.0,True
1.12,145,126335.35,3345.87,487.0,88.61,7018.63,231.0,37.76,22.0,True
0.07,14,937.24,198.81,46.0,42.17,52.07,25.0,4.71,2.0,True
0.08,13,2451.96,241.48,52.0,23.78,136.22,19.0,10.15,3.0,True
1.12,137,199743.56,3366.68,555.0,56.75,11096.86,181.0,59.33,37.0,True
0.33,31,29651.11,988.37,187.0,32.95,1647.28,45.0,30.0,4.0,True
0.06,14,1670.82,194.49,45.0,22.64,92.82,20.0,8.59,2.0,True
0.31,38,21751.48,941.62,166.0,40.76,1208.42,54.0,23.1,6.0,True
0.02,3,225.85,53.77,15.0,12.8,12.55,5.0,4.2,1.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,True
0.23,43,14705.2,701.84,131.0,33.5,816.96,51.0,20.95,7.0,True
2.33,327,1025844.72,6976.04,1181.0,47.44,56991.37,423.0,147.05,32.0,True
0.02,3,225.85,53.77,15.0,12.8,12.55,5.0,4.2,1.0,True
0.16,12,5818.78,476.08,98.0,38.95,323.27,19.0,12.22,1.0,True
0.01,3,149.49,39.86,12.0,10.63,8.3,6.0,3.75,1.0,True
0.13,12,4526.5,388.64,80.0,33.37,251.47,19.0,11.65,1.0,True
0.04,6,771.43,120.0,30.0,18.67,42.86,10.0,6.43,1.0,True
0.13,19,3594.69,399.41,84.0,44.38,199.71,31.0,9.0,2.0,True
0.21,26,11345.0,641.69,119.0,36.29,630.28,34.0,17.68,7.0,True
0.45,62,42802.85,1364.73,235.0,43.51,2377.94,78.0,31.36,9.0,True
0.45,63,43942.85,1358.62,235.0,42.01,2441.27,77.0,32.34,9.0,True
0.01,4,82.12,36.5,13.0,16.21,4.56,6.0,2.25,1.0,True
0.06,11,981.27,186.91,44.0,35.6,54.52,14.0,5.25,1.0,True
0.09,10,2671.69,274.02,57.0,28.1,148.43,22.0,9.75,2.0,True
0.2,30,11790.68,613.12,111.0,31.88,655.04,33.0,19.23,7.0,True
0.43,91,41487.52,1301.57,237.0,40.83,2304.86,110.0,31.88,17.0,True
0.09,16,1861.37,272.05,56.0,39.76,103.41,20.0,6.84,3.0,True
0.31,38,21751.48,941.62,166.0,40.76,1208.42,54.0,23.1,6.0,True
0.0,1,0.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,True
0.06,5,1141.85,166.52,45.0,24.28,63.44,7.0,6.86,1.0,True
0.58,52,55302.55,1725.75,309.0,53.85,3072.36,67.0,32.04,5.0,True
0.11,15,8244.19,325.7,72.0,12.87,458.01,18.0,25.31,4.0,True
0.02,8,95.1,47.55,15.0,23.77,5.28,13.0,2.0,2.0,True
0.42,54,37690.06,1256.34,211.0,41.88,2093.88,64.0,30.0,13.0,True
0.02,3,225.85,53.77,15.0,12.8,12.55,5.0,4.2,1.0,True
0.07,19,2244.0,204.0,51.0,18.55,124.67,29.0,11.0,2.0,True
0.1,16,1989.87,311.78,68.0,48.85,110.55,28.0,6.38,2.0,True
0.25,35,15925.61,762.25,138.0,36.48,884.76,39.0,20.89,6.0,True
1.16,125,189081.51,3491.91,534.0,64.48,10504.53,155.0,54.15,23.0,True
0.01,2,133.19,38.05,11.0,10.87,7.4,5.0,3.5,1.0,True
0.03,7,412.27,82.45,23.0,16.49,22.9,10.0,5.0,2.0,True
0.21,32,13113.3,635.59,126.0,30.81,728.52,41.0,20.63,5.0,True
1.87,226,569205.67,5600.33,867.0,55.1,31622.54,321.0,101.64,45.0,True
0.04,6,249.33,105.49,27.0,44.63,13.85,13.0,2.36,1.0,True
0.14,31,6232.9,423.05,88.0,28.71,346.27,39.0,14.73,6.0,True
0.36,52,44274.92,1083.43,191.0,26.51,2459.72,78.0,40.87,12.0,True
0.03,6,899.14,96.34,29.0,10.32,49.95,14.0,9.33,2.0,True
0.02,7,501.89,71.7,20.0,10.24,27.88,10.0,7.0,2.0,True
0.03,7,360.79,96.21,26.0,25.66,20.04,9.0,3.75,2.0,True
0.33,47,23548.86,997.58,175.0,42.26,1308.27,51.0,23.61,7.0,True
0.11,17,4668.27,337.97,67.0,24.47,259.35,24.0,13.81,5.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,24.0,True
0.82,95,115609.42,2445.58,399.0,51.73,6422.75,128.0,47.27,22.0,True
0.86,83,47699.98,2590.04,389.0,140.64,2650.0,90.0,18.42,11.0,True
0.29,39,17439.19,884.34,164.0,44.84,968.84,49.0,19.72,9.0,True
0.59,56,60427.77,1783.46,316.0,52.64,3357.1,70.0,33.88,6.0,True
0.04,7,644.39,113.3,29.0,19.92,35.8,9.0,5.69,2.0,True
0.32,55,28074.1,973.91,183.0,33.79,1559.67,65.0,28.83,12.0,True
0.01,7,72.0,36.0,12.0,18.0,4.0,13.0,2.0,2.0,True
0.02,6,161.44,55.35,16.0,18.98,8.97,11.0,2.92,2.0,True
0.05,10,1373.5,142.7,32.0,14.83,76.31,19.0,9.63,5.0,True
0.03,10,555.43,96.0,24.0,16.59,30.86,14.0,5.79,3.0,True
0.11,20,2721.07,325.6,64.0,38.96,151.17,24.0,8.36,3.0,True
0.06,14,1414.29,167.37,37.0,19.81,78.57,19.0,8.45,3.0,True
0.08,16,3864.96,250.36,57.0,16.21,214.72,21.0,15.44,2.0,True
0.2,31,7259.26,595.23,117.0,48.81,403.29,41.0,12.2,5.0,True
0.04,7,695.81,118.94,28.0,20.33,38.66,11.0,5.85,2.0,True
0.03,13,397.18,85.11,23.0,18.24,22.07,15.0,4.67,3.0,True
0.6,69,52898.93,1793.18,300.0,60.79,2938.83,115.0,29.5,18.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,6.0,True
0.01,3,37.9,25.27,9.0,16.84,2.11,5.0,1.5,1.0,True
0.09,12,2738.9,263.64,61.0,25.38,152.16,21.0,10.39,2.0,True
0.35,37,28991.96,1035.43,209.0,36.98,1610.66,48.0,28.0,6.0,True
0.02,4,121.08,48.43,14.0,19.37,6.73,6.0,2.5,1.0,True
0.07,8,1679.66,216.1,50.0,27.8,93.31,16.0,7.77,1.0,True
0.15,34,5302.1,441.84,94.0,36.82,294.56,46.0,12.0,10.0,True
0.52,59,47424.91,1547.9,247.0,50.52,2634.72,79.0,30.64,14.0,True
0.02,5,88.22,58.81,17.0,39.21,4.9,8.0,1.5,1.0,True
0.24,36,11252.67,706.85,124.0,44.4,625.15,60.0,15.92,14.0,True
1.04,54,79179.95,3127.78,483.0,123.55,4398.89,73.0,25.32,7.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,18.0,True
0.08,10,2319.47,230.51,59.0,22.91,128.86,20.0,10.06,1.0,True
0.02,4,930.59,62.04,24.0,4.14,51.7,9.0,15.0,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,5.0,True
0.02,3,225.85,53.77,15.0,12.8,12.55,5.0,4.2,1.0,True
0.05,16,890.16,143.06,35.0,22.99,49.45,25.0,6.22,5.0,True
0.06,15,1283.11,180.09,41.0,25.28,71.28,23.0,7.13,6.0,True
0.28,39,22182.69,840.25,153.0,31.83,1232.37,44.0,26.4,10.0,True
0.25,39,11500.19,744.95,143.0,48.26,638.9,45.0,15.44,8.0,True
0.11,19,3476.06,331.93,67.0,31.7,193.11,21.0,10.47,2.0,True
0.17,30,5927.38,518.65,95.0,45.38,329.3,33.0,11.43,6.0,True
0.42,54,41761.46,1262.2,226.0,38.15,2320.08,61.0,33.09,14.0,True
0.08,11,2171.31,235.23,52.0,25.48,120.63,19.0,9.23,3.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,True
0.18,32,4642.76,530.04,101.0,60.51,257.93,36.0,8.76,10.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,12.0,True
0.91,109,138029.63,2719.8,429.0,53.59,7668.31,124.0,50.75,18.0,True
0.09,12,5371.96,284.98,63.0,15.12,298.44,16.0,18.85,3.0,True
0.13,16,3276.4,402.37,82.0,49.41,182.02,29.0,8.14,3.0,True
0.25,42,10483.54,748.82,138.0,53.49,582.42,55.0,14.0,11.0,True
0.04,11,1258.13,133.44,32.0,14.15,69.9,15.0,9.43,3.0,True
0.1,21,7071.84,303.08,67.0,12.99,392.88,33.0,23.33,7.0,True
0.31,46,20646.6,922.9,155.0,41.25,1147.03,108.0,22.37,6.0,True
0.12,19,4786.08,358.96,67.0,26.92,265.89,71.0,13.33,3.0,True
0.68,83,66391.36,2047.61,340.0,63.15,3688.41,99.0,32.42,13.0,True
0.22,27,7122.23,665.98,118.0,62.27,395.68,39.0,10.69,8.0,True
0.23,34,8248.09,699.84,124.0,59.38,458.23,44.0,11.79,10.0,True
0.43,71,34674.56,1282.22,204.0,47.41,1926.36,83.0,27.04,22.0,True
0.06,11,1557.81,166.91,38.0,17.88,86.54,15.0,9.33,4.0,True
0.17,34,5248.79,524.88,93.0,52.49,291.6,36.0,10.0,15.0,True
0.96,111,117023.39,2868.22,455.0,70.3,6501.3,229.0,40.8,18.0,True
0.5,48,41310.78,1494.55,252.0,54.07,2295.04,106.0,27.64,8.0,True
0.02,14,221.39,66.42,17.0,19.93,12.3,18.0,3.33,1.0,True
1.24,111,128201.25,3720.81,579.0,107.99,7122.29,171.0,34.46,18.0,True
0.02,14,237.6,72.0,18.0,21.82,13.2,18.0,3.3,1.0,True
0.01,4,67.38,25.27,9.0,9.47,3.74,10.0,2.67,1.0,True
0.91,213,100924.41,2735.76,386.0,74.16,5606.91,258.0,36.89,41.0,True
0.05,12,1189.42,152.93,36.0,19.66,66.08,17.0,7.78,2.0,True
0.49,37,36466.77,1471.97,265.0,59.42,2025.93,59.0,24.77,1.0,True
2.94,242,579968.21,8830.85,1220.0,134.46,32220.46,344.0,65.68,16.0,True
0.02,14,192.0,64.0,16.0,21.33,10.67,18.0,3.0,1.0,True
0.89,103,81739.17,2665.41,432.0,86.92,4541.06,173.0,30.67,19.0,True
0.24,28,14372.52,713.53,135.0,35.42,798.47,70.0,20.14,6.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,8.0,True
0.08,12,4361.23,230.75,48.0,12.21,242.29,17.0,18.9,5.0,True
1.2,169,156531.52,3601.97,547.0,82.89,8696.2,191.0,43.46,32.0,True
0.7,83,56742.73,2111.52,334.0,78.57,3152.37,101.0,26.87,8.0,True
0.08,7,1511.49,230.32,49.0,35.1,83.97,12.0,6.56,2.0,True
0.55,48,44622.57,1659.84,281.0,61.74,2479.03,74.0,26.88,6.0,True
0.76,74,84350.56,2286.74,366.0,61.99,4686.14,109.0,36.89,9.0,True
0.93,143,112057.5,2782.57,433.0,69.1,6225.42,163.0,40.27,33.0,True
0.05,13,1060.92,157.17,37.0,23.28,58.94,17.0,6.75,3.0,True
0.36,37,32842.0,1085.98,187.0,35.91,1824.56,60.0,30.24,9.0,True
0.86,130,72442.7,2587.89,393.0,92.45,4024.59,172.0,27.99,35.0,True
0.04,8,728.0,112.0,28.0,17.23,40.44,19.0,6.5,2.0,True
0.38,47,31067.56,1144.94,211.0,42.19,1725.98,59.0,27.13,7.0,True
0.64,78,74739.06,1910.62,332.0,48.84,4152.17,85.0,39.12,11.0,True
0.17,24,10443.25,522.15,101.0,26.11,580.18,29.0,20.0,5.0,True
0.29,32,15650.11,882.24,172.0,49.73,869.45,43.0,17.74,3.0,True
0.45,67,39316.83,1340.35,226.0,45.69,2184.27,75.0,29.33,10.0,True
0.56,59,57398.73,1678.33,289.0,49.07,3188.82,68.0,34.2,11.0,True
1.09,75,126364.78,3269.18,491.0,84.58,7020.27,98.0,38.65,18.0,True
0.94,98,123651.53,2826.32,451.0,64.59,6869.53,113.0,43.75,17.0,True
0.54,64,49050.47,1631.78,269.0,54.28,2725.03,74.0,30.06,12.0,True
0.3,39,25502.68,913.14,174.0,32.7,1416.82,50.0,27.93,7.0,True
0.03,11,828.9,103.61,28.0,12.95,46.05,14.0,8.0,3.0,True
0.01,5,166.42,44.38,14.0,11.83,9.25,10.0,3.75,1.0,True
0.05,15,2419.98,165.0,37.0,11.25,134.44,22.0,14.67,4.0,True
0.11,17,2724.87,343.13,73.0,43.21,151.38,22.0,7.94,2.0,True
0.3,41,36630.64,902.87,184.0,22.25,2035.04,50.0,40.57,7.0,True
0.06,10,1716.63,182.84,41.0,19.47,95.37,16.0,9.39,2.0,True
0.13,13,5629.45,404.17,85.0,29.02,312.75,17.0,13.93,1.0,True
0.2,20,13103.56,605.33,120.0,27.96,727.98,25.0,21.65,2.0,True
0.26,28,27359.56,785.0,157.0,22.52,1519.98,39.0,34.85,10.0,True
1.4,121,374921.15,4197.59,676.0,47.0,20828.95,231.0,89.32,20.0,True
0.27,46,15501.67,801.81,146.0,41.47,861.2,61.0,19.33,8.0,True
0.11,20,4161.52,317.07,64.0,24.16,231.2,52.0,13.13,4.0,True
0.62,93,92381.11,1869.62,314.0,37.84,5132.28,118.0,49.41,23.0,True
0.3,28,25064.62,900.76,166.0,32.36,1392.48,35.0,27.83,5.0,True
0.04,10,980.99,114.45,28.0,13.35,54.5,14.0,8.57,3.0,True
0.83,74,62224.93,2498.99,384.0,100.36,3456.94,107.0,24.9,6.0,True
0.87,79,79057.67,2622.67,405.0,87.0,4392.09,115.0,30.14,8.0,True
0.89,77,69470.06,2661.69,409.0,101.98,3859.45,107.0,26.1,7.0,True
0.3,35,9932.94,900.14,155.0,81.57,551.83,62.0,11.03,1.0,True
0.3,36,9749.87,904.1,155.0,83.84,541.66,62.0,10.78,1.0,True
3.61,348,1043473.09,10819.09,1643.0,112.18,57970.73,360.0,96.45,73.0,True
0.48,49,21845.09,1442.73,237.0,95.28,1213.62,78.0,15.14,2.0,True
0.46,45,22518.93,1394.03,229.0,86.3,1251.05,74.0,16.14,2.0,True
1.82,177,272666.01,5445.25,811.0,108.74,15148.11,229.0,50.07,10.0,True
0.73,39,77889.85,2202.7,381.0,62.29,4327.21,56.0,35.36,3.0,True
0.01,2,44.92,22.46,8.0,11.23,2.5,4.0,2.0,1.0,True
0.26,34,15409.74,784.5,139.0,39.94,856.1,45.0,19.64,6.0,True
0.29,38,18036.96,871.1,150.0,42.07,1002.05,45.0,20.71,9.0,True
0.21,28,9999.38,620.12,115.0,38.46,555.52,44.0,16.12,4.0,True
0.22,24,10361.04,650.1,123.0,40.79,575.61,34.0,15.94,6.0,True
0.16,23,5475.4,477.02,93.0,41.56,304.19,35.0,11.48,4.0,True
0.11,14,4395.57,325.6,64.0,24.12,244.2,22.0,13.5,3.0,True
0.13,23,4536.56,382.74,78.0,32.29,252.03,27.0,11.85,5.0,True
0.09,16,2655.9,275.94,61.0,28.67,147.55,23.0,9.63,4.0,True
0.0,2,17.41,11.61,5.0,7.74,0.97,5.0,1.5,1.0,True
0.08,16,2335.02,228.23,48.0,22.31,129.72,22.0,10.23,5.0,True
0.04,15,351.62,105.49,27.0,31.65,19.53,17.0,3.33,4.0,True
0.09,12,3841.41,277.43,56.0,20.04,213.41,18.0,13.85,2.0,True
0.15,21,7893.62,453.22,87.0,26.02,438.53,31.0,17.42,7.0,True
1.16,144,155000.02,3474.4,545.0,77.88,8611.11,219.0,44.61,40.0,True
0.24,30,16784.72,718.06,130.0,30.72,932.48,47.0,23.38,9.0,True
0.12,19,6441.68,349.77,72.0,18.99,357.87,27.0,18.42,8.0,True
0.15,28,7969.29,461.64,90.0,26.74,442.74,37.0,17.26,6.0,True
1.29,159,136868.43,3876.34,575.0,109.78,7603.8,256.0,35.31,43.0,True
0.88,41,40253.16,2635.62,407.0,172.57,2236.29,171.0,15.27,1.0,True
0.01,2,39.3,19.65,7.0,9.83,2.18,4.0,2.0,1.0,True
0.09,27,3295.12,272.32,62.0,22.51,183.06,38.0,12.1,6.0,True
2.02,97,231389.88,6075.7,943.0,159.53,12854.99,105.0,38.08,123.0,True
0.09,12,4019.39,267.96,62.0,17.86,223.3,15.0,15.0,2.0,True
0.11,22,4788.33,325.0,65.0,22.06,266.02,25.0,14.73,6.0,True
0.47,39,38830.33,1423.78,251.0,52.21,2157.24,70.0,27.27,18.0,True
0.11,30,2506.43,330.0,66.0,43.45,139.25,46.0,7.6,3.0,True
0.06,12,788.91,176.47,38.0,39.47,43.83,17.0,4.47,1.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,39.0,True
0.04,10,1067.5,133.44,32.0,16.68,59.31,14.0,8.0,3.0,True
0.18,35,8628.34,539.27,106.0,33.7,479.35,48.0,16.0,7.0,True
0.05,5,1900.0,152.0,38.0,12.16,105.56,16.0,12.5,2.0,True
0.48,74,42515.95,1447.91,254.0,49.31,2362.0,97.0,29.36,24.0,True
0.07,16,1302.6,195.04,42.0,29.2,72.37,27.0,6.68,4.0,True
0.05,6,1272.53,148.46,38.0,17.32,70.7,10.0,8.57,1.0,True
0.12,20,2139.18,371.38,73.0,64.48,118.84,32.0,5.76,3.0,True
0.12,18,4499.68,374.97,78.0,31.25,249.98,24.0,12.0,3.0,True
0.05,9,1788.9,162.63,39.0,14.78,99.38,14.0,11.0,1.0,True
0.65,72,72577.11,1935.39,329.0,51.61,4032.06,93.0,37.5,16.0,True
0.46,60,43810.43,1371.46,243.0,42.93,2433.91,82.0,31.94,14.0,True
0.01,2,60.0,24.0,8.0,9.6,3.33,5.0,2.5,1.0,True
0.03,7,833.99,104.25,25.0,13.03,46.33,12.0,8.0,3.0,True
3.38,286,1040194.98,10132.07,1612.0,98.69,57788.61,324.0,102.66,133.0,True
0.11,17,2860.33,339.0,73.0,40.18,158.91,25.0,8.44,2.0,True
0.82,87,116471.96,2458.94,396.0,51.91,6470.66,110.0,47.37,22.0,True
0.41,58,34042.87,1238.67,223.0,45.07,1891.27,70.0,27.48,12.0,True
0.01,2,31.02,15.51,6.0,7.75,1.72,4.0,2.0,1.0,True
0.31,43,16823.91,919.95,163.0,50.3,934.66,59.0,18.29,9.0,True
0.11,25,4357.93,343.48,70.0,27.07,242.11,35.0,12.69,5.0,True
0.14,31,5907.9,421.99,86.0,30.14,328.22,47.0,14.0,6.0,True
0.03,7,720.0,96.0,24.0,12.8,40.0,10.0,7.5,5.0,True
1.16,110,158448.41,3486.71,544.0,76.73,8802.69,157.0,45.44,19.0,True
1.6,157,247537.69,4790.28,712.0,92.7,13752.09,206.0,51.68,29.0,True
0.06,11,547.44,172.88,40.0,54.59,30.41,21.0,3.17,1.0,True
1.61,130,137880.87,4830.22,663.0,169.21,7660.05,187.0,28.55,12.0,True
0.24,25,20580.08,724.11,139.0,25.48,1143.34,33.0,28.42,6.0,True
0.0,0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,6.0,True
0.01,4,82.12,36.5,13.0,16.21,4.56,6.0,2.25,1.0,True
0.07,10,985.77,197.15,43.0,39.43,54.76,18.0,5.0,3.0,True
1.69,186,326177.53,5080.91,797.0,79.15,18120.97,199.0,64.2,28.0,True
0.16,22,9681.15,472.25,103.0,23.04,537.84,29.0,20.5,5.0,True
0.56,90,54805.37,1665.06,269.0,50.59,3044.74,100.0,32.91,14.0,True
0.16,18,6583.65,479.27,92.0,34.89,365.76,25.0,13.74,6.0,True
0.52,61,60767.15,1569.45,274.0,40.53,3375.95,88.0,38.72,22.0,True
0.18,24,9370.47,549.19,100.0,32.18,520.58,28.0,17.06,9.0,True
0.04,9,792.95,118.94,28.0,17.84,44.05,12.0,6.67,5.0,True
